name,code,city_code,state_code,country_code
Utirik Airport,UTK,,MH-UTI,MH
Ocean Reef Club Airport,OCA,,US-FL,US
Buckhorn Ranch Airport,CSE,,US-CO,US
LBJ Ranch Airport,JCY,,US-TX,US
Metropolitan Airport,PMX,,US-MA,US
Loring Seaplane Base,WLR,,US-AK,US
Nunapitchuk Airport,NUP,NUP,US-AK,US
Icy Bay Airport,ICY,,US-AK,US
Kalakaket Creek AS Airport,KKK,,US-AK,US
Dunsmuir Muni-Mott Airport,MHS,,US-CA,US
Lime Village Airport,LVD,,US-AK,US
Five Finger CG Heliport,FIV,,US-AK,US
Hog River Airport,HGZ,,US-AK,US
Ed-Air Airport,OTN,,US-IN,US
Telida Airport,TLF,,US-AK,US
Eagle Air Park,BZT,,US-TX,US
False Island Seaplane Base,FAK,,US-AK,US
Blakely Island Airport,BYW,,US-WA,US
Drift River Airport,DRF,,US-AK,US
Rinkenberger Restricted Landing Area,BDF,,US-IL,US
Roy Otten Memorial Airfield,VRS,,US-MO,US
Golden Horn Lodge Seaplane Base,GDH,,US-AK,US
Atmautluak Airport,ATT,ATT,US-AK,US
Livengood Camp Airport,LIV,,US-AK,US
Pedro Bay Airport,PDB,,US-AK,US
Ouzinkie Airport,KOZ,,US-AK,US
Tununak Airport,TNK,TNK,US-AK,US
Ben Bruce Memorial Airpark,EVA,,US-TX,US
Blaine Municipal Airport,BWS,,US-WA,US
Hyder Seaplane Base,WHD,,US-AK,US
Tokeen Seaplane Base,TKI,,US-AK,US
Aleknagik / New Airport,WKK,,US-AK,US
Ketchikan Harbor Seaplane Base,WFB,,US-AK,US
Naknek Airport,NNK,,US-AK,US
Lake Brooks Seaplane Base,BKF,,US-AK,US
Fort Gillem Heliport,FOP,,US-GA,US
Southern Seaplane Airport,BCS,,US-LA,US
Catalina Air-Sea Terminal Heliport,SPQ,,US-CA,US
East 34th Street Heliport,TSS,,US-NY,US
New York Skyports Inc Seaplane Base,QNY,,US-NY,US
Earl Henry Airport,BWL,,US-OK,US
Yes Bay Lodge Seaplane Base,WYB,,US-AK,US
Center Island Airport,CWS,,US-WA,US
Tatitlek Airport,TEK,,US-AK,US
Pine Island Airport,DUF,,US-NC,US
Stuart Island Airpark,SSW,,US-WA,US
Fort Bragg Airport,FOB,,US-CA,US
Century City Heliport,CCD,,US-CA,US
Meyers Chuck Seaplane Base,WMK,,US-AK,US
Waldronaire Airport,WDN,,US-WA,US
North Whale Seaplane Base,WWP,,US-AK,US
Chuathbaluk Airport,CHU,CHU,US-AK,US
Levelock Airport,KLL,,US-AK,US
Saginaw Seaplane Base,SGW,,US-AK,US
Tuntutuliak Airport,WTL,WTL,US-AK,US
Twin Hills Airport,TWA,,US-AK,US
Chignik Lake Airport,KCQ,,US-AK,US
Atkamba Airport,ABP,,PG-WPD,PG
Andorra la Vella Heliport,ALV,,AD-07,AD
Andakombe Airport,ADC,,PG-EHG,PG
El Daein Airport,ADV,,SD-DE,SD
Jebel Ali Seaplane Base,DJH,,AE-DU,AE
Adareil Airport,AEE,,SS-23,SS
Algeciras Heliport,AEI,,ES-CA,ES
Aseki Airport,AEK,,PG-MPL,PG
Orūzgān Airport,URZ,,AF-ORU,AF
Salerno Landing Zone Airport,OLR,,AF-PIA,AF
Kondavattavana Tank Seaplane Base,AFK,,LK-5,LK
Afore Airstrip,AFR,,PG-NPP,PG
Afutara Aerodrome,AFT,,SB-ML,SB
Ulawa Airport,RNA,,SB-MK,SB
Uru Harbour Airport,ATD,,SB-ML,SB
Barakoma Airport,VEV,,SB-WE,SB
Geva Airport,GEF,,SB-WE,SB
Angoram Airport,AGG,,PG-ESW,PG
Auki Airport,AKS,,SB-ML,SB
Bellona/Anua Airport,BNY,,SB-RB,SB
Choiseul Bay Airport,CHY,,SB-CH,SB
Ballalae Airport,BAS,,SB-WE,SB
Fera/Maringe Airport,FRE,,SB-IS,SB
Honiara International Airport,HIR,,SB-CT,SB
Babanakira Airport,MBU,,SB-GU,SB
Avu Avu Airport,AVU,,SB-GU,SB
Ngorangora Airport,IRA,,SB-MK,SB
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,,SB-TE,SB
Munda Airport,MUA,,SB-WE,SB
Nusatupe Airport,GZO,,SB-WE,SB
Mono Airport,MNY,,SB-WE,SB
Parasi Airport,PRS,,SB-ML,SB
Ontong Java Atoll Airstrip,OTV,,SB-ML,SB
Rennell/Tingoa Airport,RNL,,SB-RB,SB
Sege Airport,EGM,,SB-WE,SB
Santa Ana Airport,NNB,,SB-MK,SB
Marau Airport,RUS,,SB-GU,SB
Suavanao Airport,VAO,,SB-IS,SB
Yandina Airport,XYA,,SB-CE,SB
Kagua Airport,AGK,,PG-SHM,PG
Kaghau Airport,KGE,,SB-CH,SB
Kukudu Airport,KUE,,SB-WE,SB
Kwailabesi Airport,KWS,,SB-ML,SB
Wanigela Airport,AGL,,PG-NPP,PG
Nana Airport,NAZ,,SB-MK,SB
Ringi Cove Airport,RIN,,SB-WE,SB
Ramata Airport,RBV,,SB-WE,SB
Tulaghi Heliport,TLG,,SB-CE,SB
Argyle Downs Airport,AGY,,AU-WA,AU
Hongyuan Airport,AHJ,,CN-51,CN
Ambatolhy Airport,AHY,,MG-U,MG
Aiome Airport,AIE,,PG-MPM,PG
Aiambak Airport,AIH,,PG-WPD,PG
Ailinglaplap Airport,AIP,,MH-ALL,MH
Chena Hot Springs Airport,CEX,,US-AK,US
Solomon State Field,SOL,,US-AK,US
Herendeen Bay Airport,HED,,US-AK,US
Taylor Airport,TWE,,US-AK,US
Tikchik Lodge Seaplane Base,KTH,,US-AK,US
Naukati Bay Seaplane Base,WNC,,US-AK,US
Lonely Air Station,LNI,,US-AK,US
Candle 2 Airport,CDL,,US-AK,US
Amook Bay Seaplane Base,AOS,,US-AK,US
Bartletts Airport,BSZ,,US-AK,US
Boswell Bay Airport,BSW,,US-AK,US
Zakuoma Airport,AKM,,TD-SA,TD
Sharpe Field,TGE,,US-AL,US
Alitak Seaplane Base,ALZ,,US-AK,US
Alto Molocue Airport,AME,,MZ-Q,MZ
Ama Airport,AMF,,PG-ESW,PG
Amanab Airport,AMU,,PG-SAN,PG
Ambatomainty Airport,AMY,,MG-M,MG
Anuha Island Resort Airport,ANH,,SB-CE,SB
Nauru International Airport,INU,,NR-14,NR
Angus Downs Airport,ANZ,,AU-NT,AU
Andulo Airport,ANL,,AO-BIE,AO
Cangamba Airport,CNZ,,AO-MOX,AO
Dirico Airport,DRC,,AO-CCU,AO
Lumbala Airport,GGC,,AO-MOX,AO
Jamba Airport,JMB,,AO-HUA,AO
Capanda Airport,KNP,,AO-MAL,AO
Ndalatandos Airport,NDF,,AO-CNO,AO
Aroa Airport,AOA,,PG-CPM,PG
Annanberg Airport,AOB,,PG-MPM,PG
Abou-Deïa Airport,AOD,,TD-SA,TD
Asapa Airport,APP,,PG-NPP,PG
April River Airport,APR,,PG-ESW,PG
Girdwood Airport,AQY,,US-AK,US
Bragado Airport,QRF,,AR-B,AR
Caleta Olivia Airport,CVI,,AR-Z,AR
Charata Airport,CNT,,AR-H,AR
General Villegas Airport,VGS,,AR-B,AR
