code,city code,name
AAE,AAE,Annaba
AAL,AAL,Aalborg
AAN,AAN,Al Ain
AAQ,AAQ,Anapa
AAR,AAR,Aarhus
AAT,AAT,Altay
ABA,ABA,Abakan
ABE,ABE,Lehigh Valley International
ABH,ABH,Abha
ABI,ABI,Abilene Rgnl
ABJ,ABJ,Abidjan Felix Houphouet Boigny International
ABK,ABK,Kabri Dehar
ABQ,ABQ,Albuquerque International Sunport
ABR,ABR,Aberdeen Regional
ABS,ABS,Abu Simbel
ABT,ABT,Al Baha
ABV,ABV,Abuja Nnamdi Azikiwe International
ABX,ABX,Albury
ABZ,ABZ,Dyce
ACA,ACA,General Juan N Alvarez International
ACC,ACC,Kotoka International
ACE,ACE,Las Palmas
ACH,ACH,Altenrhein
ACK,ACK,Nantucket Mem
ACT,ACT,Waco Rgnl
ACV,ACV,Arcata-Eureka
ACX,ACX,Xingyi
ADA,ADA,Adana Şakirpaşa
ADB,IZM,Adnan Menderes
ADD,ADD,Bole International
ADE,ADE,Aden International
ADF,ADF,Adiyaman
ADK,ADK,Adak
ADL,ADL,Adelaide International
ADQ,ADQ,Kodiak
ADZ,ADZ,Gustavo Rojas Pinilla
AEB,AEB,Baise
AEP,BUE,Aeroparque Jorge Newbery
AER,AER,Sochi
AES,AES,Alesund
AEX,ESF,Alexandria International
AEY,AEY,Akureyri
AFA,AFA,San Rafael
AGA,AGA,Inezgane
AGH,AGH,Helsingborg-Angelholm
AGP,AGP,Malaga
AGR,AGR,Agra
AGS,AGS,Augusta Regional At Bush Field
AGT,AGT,Ciudad del Este
AGU,AGU,Jesus Teran International
AGX,AGX,Agatti Island
AHB,AHB,Abha
AHO,AHO,Alghero
AHU,AHU,Al Hociema
AIA,AIA,Alliance
AJA,AJA,Campo Dell Oro
AJF,AJF,Al-Jawf
AJI,AJI,Agri
AJL,AJL,Aizwal
AJR,AJR,Arvidsjaur
AJU,AJU,Aracaju
AKJ,AKJ,Asahikawa
AKL,AKL,Auckland International
AKN,AKN,King Salmon
AKU,AKU,Aksu
ALA,ALA,Almaty
ALB,ALB,Albany International
ALC,ALC,Alicante
ALF,ALF,Alta
ALG,ALG,Houari Boumediene
ALH,ALH,Albany
ALO,ALO,Waterloo
ALP,ALP,Aleppo International
ALS,ALS,Alamosa
ALW,ALW,Walla Walla
AMA,AMA,Amarillo International
AMD,AMD,Ahmedabad
AMH,AMH,Arba Minch
AMI,AMI,Mataram
AMM,AMM,Queen Alia International
AMQ,AMQ,Ambon
AMS,AMS,Schiphol
ANC,ANC,Ted Stevens Anchorage International
ANF,ANF,Cerro Moreno International
ANK,ANK,Etimesgut
ANU,ANU,V. C. Bird International
AOE,AOE,Eskissehir
AOI,AOI,Ancona-Falconara
AOJ,AOJ,Aomori
AOK,AOK,Karpathos
AOO,AOO,Altoona Blair Co
AOR,AOR,Sultan Abdul Halim
APL,APL,Nampula
APN,APN,Alpena
APW,APW,Faleolo International
AQG,AQG,Anqing
AQI,AQI,Hafr Al-batin
AQJ,AQJ,Aqaba International
AQP,AQP,Rodriguez Ballon
ARI,ARI,Chacalluta
ARM,ARM,Armidale
ARN,STO,Arlanda
ART,WAT,Watertown International
ASB,ASB,Ashkhabad
ASE,ASE,Aspen
ASF,ASF,Astrakhan
ASJ,ASJ,Amami
ASM,ASM,Asmara International
ASO,ASO,Asosa
ASP,ASP,Alice Springs
ASR,ASR,Kayseri
ASU,ASU,Silvio Pettirossi International
ASW,ASW,Aswan International
ATH,ATH,Athens International
ATL,ATL,The William B Hartsfield Atlanta International
ATQ,ATQ,Amritsar
ATW,ATW,Outagamie County Regional
ATY,WAT,Watertown Regional
ATZ,ATZ,Asyut
AUA,ORA,Oranjestad
AUG,AGS,Augusta State
AUH,AUH,Abu Dhabi International
AUS,AUS,Austin Bergstrom International
AUY,AUY,Anelghowhat
AVL,AVL,Asheville Regional
AVP,AVP,Wilkes-Barre/Scranton International
AVV,AVV,Avalon
AWD,AWD,Aniwa
AXA,AXA,The Valley
AXD,ALE,Alexandroupolis
AXM,AXM,Armenia
AXT,AXT,Akita
AXU,AXU,Axum
AYQ,AYQ,Uluru
AYT,AYT,Antalya
AZO,AZO,Kalamazoo/Battle Creek International
AZR,AZR,Adrar
AZS,AZS,Samana
BAH,BAH,Bahrain International
BAK,BAK,Bina
BAL,BAL,Batman
BAQ,BAQ,Ernesto Cortissoz
BAU,BAU,Bauru
BAV,BAV,Baotou Erliban
BAX,BAX,Barnaul
BAY,BAY,Baia Mare
BBA,BBA,Balmaceda
BBI,BBI,Bhubaneswar
BCD,BCD,Bacolod
BCI,BCI,Barcaldine
BCN,BCN,El Prat
BDA,BDA,L.F. Wade International
BDB,BDB,Bundaberg
BDJ,BDJ,Banjarmasin
BDL,WIN,Windsor Locks
BDO,BDO,Bandung
BDQ,BDQ,Baroda
BDS,BDS,Brindisi
BDU,BDU,Bardufoss
BEG,BEG,Beograd
BEL,BEL,Val De Caes
BEN,BEN,Benina
BER,BER,Berlin Brandenburg
BES,BES,Guipavas
BET,BET,Bethel
BEY,BEY,Beirut International
BFF,BFF,Scottsbluff
BFL,BFL,Meadows Fld
BFN,BFN,Bloemfontein
BFS,BFS,Aldergrove
BGA,BGA,Palonegro
BGF,BGF,Bangui M Poko
BGG,BGG,Bingol
BGI,GRA,Bridgetown
BGM,BGM,Greater Binghamton
BGO,BGO,Bergen Flesland
BGR,BGR,Bangor International
BGW,BAG,Baghdad
BGY,BGY,Bergamo
BHB,BHB,Bar Harbor
BHD,BFS,City
BHE,BHE,Woodbourne
BHH,BHH,Bisha
BHI,BHI,Bahia Blanca
BHJ,BHJ,Bhuj
BHM,BHM,Birmingham International
BHO,BHO,Bhopal
