AAL,AAL,DK,Aalborg
AAR,AAR,DK,Aarhus
ABA,ABA,RU,Abakan
ABE,ABE,US,Lehigh Valley International
ABI,ABI,US,Abilene Rgnl
ABJ,ABJ,CI,Abidjan Felix Houphouet Boigny International
ABQ,ABQ,US,Albuquerque International Sunport
ABR,ABR,US,Aberdeen Regional
ABT,ABT,SA,Al Baha
ABV,ABV,NG,Abuja Nnamdi Azikiwe International
ABZ,ABZ,GB,Dyce
ACA,ACA,MX,General Juan N Alvarez International
ACC,ACC,GH,Kotoka International
ACK,ACK,US,Nantucket Mem
ACT,ACT,US,Waco Rgnl
ACV,ACV,US,Arcata-Eureka
ADA,ADA,TR,Adana Şakirpaşa
ADB,IZM,TR,Adnan Menderes
ADD,ADD,ET,Bole International
ADE,ADE,YE,Aden International
ADK,ADK,US,Adak
ADL,ADL,AU,Adelaide International
ADQ,ADQ,US,Kodiak
ADZ,ADZ,CO,Gustavo Rojas Pinilla
AEP,BUE,AR,Aeroparque Jorge Newbery
AER,AER,RU,Sochi
AEX,ESF,US,Alexandria International
AGA,AGA,MA,Inezgane
AGH,AGH,SE,Helsingborg-Angelholm
AGP,AGP,ES,Malaga
AGS,AGS,US,Augusta Regional At Bush Field
AGU,AGU,MX,Jesus Teran International
AHB,AHB,SA,Abha
AJA,AJA,FR,Campo Dell Oro
AKJ,AKJ,JP,Asahikawa
AKL,AKL,NZ,Auckland International
AKN,AKN,US,King Salmon
ALA,ALA,KZ,Almaty
ALB,ALB,US,Albany International
ALC,ALC,ES,Alicante
ALG,ALG,DZ,Houari Boumediene
ALP,ALP,SY,Aleppo International
AMA,AMA,US,Amarillo International
AMD,AMD,IN,Ahmedabad
AMM,AMM,JO,Queen Alia International
AMS,AMS,NL,Schiphol
ANC,ANC,US,Ted Stevens Anchorage International
ANF,ANF,CL,Cerro Moreno International
ANK,ANK,TR,Etimesgut
ANU,ANU,AG,V. C. Bird International
AOI,AOI,IT,Ancona-Falconara
AOJ,AOJ,JP,Aomori
AOO,AOO,US,Altoona Blair Co
AOR,AOR,MY,Sultan Abdul Halim
APW,APW,WS,Faleolo International
AQJ,AQJ,JO,Aqaba International
AQP,AQP,PE,Rodriguez Ballon
ARI,ARI,CL,Chacalluta
ARN,STO,SE,Arlanda
ASM,ASM,ER,Asmara International
ASU,ASU,PY,Silvio Pettirossi International
ASW,ASW,EG,Aswan International
ATH,ATH,GR,Athens International
ATL,ATL,US,The William B Hartsfield Atlanta International
ATQ,ATQ,IN,Amritsar
ATW,ATW,US,Outagamie County Regional
AUG,AGS,US,Augusta State
AUH,AUH,AE,Abu Dhabi International
AUS,AUS,US,Austin Bergstrom International
AVL,AVL,US,Asheville Regional
AVP,AVP,US,Wilkes-Barre/Scranton International
AXT,AXT,JP,Akita
AYT,AYT,TR,Antalya
AZO,AZO,US,Kalamazoo/Battle Creek International
BAH,BAH,BH,Bahrain International
BAQ,BAQ,CO,Ernesto Cortissoz
BAV,BAV,CN,Baotou Erliban
BBA,BBA,CL,Balmaceda
BCN,BCN,ES,El Prat
BDA,BDA,BM,L.F. Wade International
BDU,BDU,NO,Bardufoss
BEG,BEG,RS,Beograd
BEL,BEL,BR,Val De Caes
BEN,BEN,LY,Benina
BER,BER,DE,Berlin Brandenburg
BES,BES,FR,Guipavas
BET,BET,US,Bethel
BEY,BEY,LB,Beirut International
BFL,BFL,US,Meadows Fld
BFN,BFN,ZA,Bloemfontein
BFS,BFS,GB,Aldergrove
BGA,BGA,CO,Palonegro
BGF,BGF,CF,Bangui M Poko
BGM,BGM,US,Greater Binghamton
BGO,BGO,NO,Bergen Flesland
BGR,BGR,US,Bangor International
BHD,BFS,GB,City
BHM,BHM,US,Birmingham International
BHX,BHX,GB,Birmingham
BIA,BIA,FR,Poretta
BIK,BIK,ID,Frans Kaisiepo
BIL,BIL,US,Billings Logan International
BIO,BIO,ES,Bilbao
BJL,BJL,GM,Banjul International
BJM,BJM,BI,Bujumbura International
BKI,BKI,MY,Kota Kinabalu International
BKK,BKK,TH,Suvarnabhumi
BKO,BKO,ML,Bamako Senou
BLI,BLI,US,Bellingham International
