From,To,Econ Low,Econ High,Biz Low,Biz High,First Low,First High
US,AF,28,150,28,177,23,176
AF,US,78,174,84,174,87,192
US,EU,28,157,28,198,28,183
EU,US,64,157,65,222,65,183
US,AC,31,115,62,375,62,304
AC,US,74,108,124,402,124,425
US,AS,28,103,28,125,28,131
AS,US,60,116,60,125,69,134
US,CB,38,147,38,145,38,158
CB,US,68,249,68,340,68,518
US,CA,44,129,46,117,46,230
CA,US,78,129,103,150,103,150
US,HA,40,83,94,181,94,181
HA,US,40,85,92,191,92,191
US,MX,49,127,49,127,49,127
MX,US,85,146,106,168,157,186
US,ME,31,105,30,160,64,159
ME,US,47,96,48,159,74,159
US,SA,28,126,28,117,28,119
SA,US,70,161,70,261,70,264
US,AU,43,165,46,177,44,167
AU,US,94,173,98,181,96,169
