From,To,Econ Low,Econ High,Biz Low,Biz High,First Low,First High
AF,AF,20,40,45,60,60,80
AC,AC,12.5,17.5,25,32.5,35,57.5
AS,AS,20,30,30,50,40,67.5
AU,AU,15,22.5,25,37.5,35,54
CB,CB,10,17.5,20,32,40,40
CA,CA,10,20,20,50,40,100
EU,EU,10,15,22.5,30,30,45
HA,HA,5,12.5,8.5,20,10,20
MX,MX,10,17.5,20,30,40,40
ME,ME,15,22.5,30,40,40,55
SA,SA,6.25,15,15.625,37.5,30,50
US,US,12.5,17.5,25,25,35,50
US,AF,40,60,70,80,85,130
AF,US,40,60,70,80,85,130
US,AC,10,17.5,25,30,35,55
AC,US,10,17.5,25,30,35,55
US,AS,32.5,40,70,80,80,110
AS,US,32.5,40,70,80,80,130
US,AU,40,50,70,80,80,130
AU,US,40,50,70,80,80,130
US,CB,12.5,22.5,25,30,40,52.5
CB,US,12.5,22.5,25,30,40,52.5
US,CA,12.5,22.5,25,30,40,52.5
CA,US,12.5,22.5,25,30,40,52.5
US,EU,22.5,35,55,70,70,110
EU,US,22.5,35,55,70,70,110
US,HA,15,22.5,37.5,40,50,65
HA,US,15,22.5,37.5,40,50,65
US,MX,12.5,22.5,25,30,40,52.5
MX,US,12.5,22.5,25,30,40,52.5
US,ME,40,50,70,82.5,90,115
ME,US,40,50,70,82.5,90,115
US,SA,20,40,40,57.5,70,85
SA,US,20,40,40,57.5,70,85
AF,AC,40,60,70,80,85,130
AC,AF,40,60,70,80,85,130
AF,AS,40,50,70,90,80,125
AS,AF,40,50,70,90,80,125
AF,AU,42.5,50,75,90,100,115
AU,AF,42.5,50,75,90,100,115
AF,CB,45,60,75,95,95,135
CB,AF,45,60,75,95,95,135
AF,CA,45,60,75,95,95,135
CA,AF,45,60,75,95,95,135
AF,EU,30,35,45,65,60,100
EU,AF,30,35,45,65,60,100
AF,HA,50,67.5,75,100,90,140
HA,AF,50,67.5,75,100,90,140
AF,MX,40,60,75,90,95,135
MX,AF,40,60,75,90,95,135
AF,ME,20,32.5,45,60,60,80
ME,AF,20,32.5,45,60,60,80
AF,SA,30,70,45,115,70,135
SA,AF,30,70,45,115,70,135
AC,AS,35,40,62.5,80,80,130
AS,AC,35,40,62.5,80,80,130
AC,AU,40,50,70,82.5,80,130
AU,AC,40,50,70,82.5,80,130
